Month,Year,Average Temperature,Historical Average,Max Temperature,Min Temperature,Historical Max,Historical Min
January,2012,22.33,20.35,28.18,16.48,26.22,14.59
February,2012,20.90,20.32,26.51,15.21,26.07,14.73
March,2012,20.27,19.18,25.86,14.53,25.06,13.71
April,2012,17.29,16.61,23.13,11.34,22.50,11.22
May,2012,13.94,13.93,20.07,7.79,19.77,8.64
June,2012,12.38,12.25,17.72,6.87,18.05,6.92
July,2012,11.87,11.48,17.78,5.67,17.37,6.09
August,2012,11.15,11.97,16.91,5.50,17.74,6.55
September,2012,13.60,13.70,19.09,8.00,19.42,8.06
October,2012,15.87,15.53,21.10,10.09,21.14,9.88
November,2012,18.12,17.67,24.26,11.60,23.35,11.97
December,2012,21.43,19.22,27.27,15.56,25.08,13.61
January,2013,20.98,20.35,26.84,15.05,26.22,14.59
February,2013,21.11,20.32,27.52,15.53,26.07,14.73
March,2013,20.33,19.18,26.26,14.25,25.06,13.71
April,2013,16.82,16.61,23.30,10.39,22.50,11.22
May,2013,14.99,13.93,21.45,8.65,19.77,8.64
June,2013,12.34,12.25,18.24,6.41,18.05,6.92
July,2013,12.29,11.48,18.28,6.50,17.37,6.09
August,2013,11.92,11.97,17.63,6.17,17.74,6.55
September,2013,12.80,13.70,18.21,7.29,19.42,8.06
October,2013,16.05,15.53,21.75,10.20,21.14,9.88
November,2013,18.68,17.67,24.31,12.65,23.35,11.97
December,2013,20.63,19.22,26.51,14.67,25.08,13.61
